channel_name,video_title,published_at,view_count,like_count
Chim Vặn Dây Cót,Hướng dẫn chơi Elden Ring #24 : Sưu tập Crystal Tears ( 32 viên ),2023-09-06 08:21:11,2942,62
Chim Vặn Dây Cót,Hướng dẫn chơi Elden Ring #23 : Xử nốt mấy con boss khó,2023-09-04 02:27:35,6819,108
Chim Vặn Dây Cót,Hướng dẫn chơi Elden Ring #22 : Làm gỏi đám rồng,2023-08-26 07:18:57,4118,84
Chim Vặn Dây Cót,Hướng dẫn chơi Elden Ring #21 : Ngáng giò mấy thằng 6 chân,2023-08-22 03:00:20,3787,79
Chim Vặn Dây Cót,Hướng dẫn chơi Elden Ring #20 : Vặt lông chim điên ( Death Bird ),2023-08-20 19:35:16,4343,98
Chim Vặn Dây Cót,Hướng dẫn chơi Elden Ring #19 : Đoạt lấy ngai vàng Elden Lord,2023-08-19 07:11:02,10937,154
Chim Vặn Dây Cót,Hướng dẫn chơi Elden Ring #18 : Đi nhóm lửa đốt cây ( Gurranq questline ),2023-08-15 08:12:45,7528,80
Chim Vặn Dây Cót,Hướng dẫn chơi Elden Ring #17 : Cây thần Haligtree của Miquella ( Dung Eater + Millicent questline ),2023-08-13 13:30:39,11955,145
Chim Vặn Dây Cót,Hướng dẫn chơi Elden Ring #16 : Kiếm đá xịn + Latenna questline,2023-08-08 08:27:08,7575,104
Chim Vặn Dây Cót,"Hướng dẫn chơi Elden Ring #15 : Boc, Corhyn, Goldmask, Alexander, Sellen questline",2023-08-06 06:22:10,7078,100
Chim Vặn Dây Cót,"Hướng dẫn chơi Elden Ring #14 : Volcano Manor ( Tanith, Rya, Bernahl, Diallos, Patches )",2023-08-02 03:18:05,8313,105
Chim Vặn Dây Cót,Hướng dẫn chơi Elden Ring #13 : Fia questline ( gồm cả D ),2023-07-31 02:38:30,7887,98
Chim Vặn Dây Cót,Hướng dẫn chơi Elden Ring #12 : Ranni questline ( gồm cả Blaidd và Iji ),2023-07-30 05:12:12,10453,120
Chim Vặn Dây Cót,"Hướng dẫn chơi Elden Ring #11 : Seluvis, Nepheli questline",2023-07-29 12:28:15,8658,120
Chim Vặn Dây Cót,Hướng dẫn chơi Elden Ring #10 : Kiếm bell đá 5 6 + 2 Sacred Tear + Irina questline,2023-07-28 05:34:35,8956,106
Chim Vặn Dây Cót,Hướng dẫn chơi Elden Ring #9 : Thủ đô hoàng gia Leyndell,2023-07-27 01:41:50,10165,106
Chim Vặn Dây Cót,"Hướng dẫn chơi Elden Ring #8 : Mohgwyn Palace + Yura, Varre quest line",2023-07-26 00:28:42,14914,151
Chim Vặn Dây Cót,Hướng dẫn chơi Elden Ring #7 : Cống ngầm Leyndell,2023-07-26 00:28:36,11800,130
Phê Game,🔴Lên đỉnh cùng @ChangDoran2k và @PhânTíchGame #3,2025-07-17 01:38:23,9400,249
Phê Game,Con Đường Tơ Lụa - Một Thời Để Nhớ,2025-07-16 19:15:05,10265,430
Phê Game,🔴Lên đỉnh cùng @ChangDoran2k và @PhânTíchGame #2,2025-07-16 01:15:02,9864,257
Phê Game,"Giải Thích Các Meme ""Game Wibu"" Trong 24 Phút | PHÊ MEME #3",2025-07-15 19:00:06,59001,3377
Phê Game,🔴Lên đỉnh cùng @ChangDoran2k và @PhânTíchGame,2025-07-15 01:17:30,13478,303
Phê Game,"Những Tựa Game ""Khai Tử"" Luôn Studio Phát Triển",2025-07-14 19:15:06,63466,1830
Phê Game,🔴Săn quái + chạy bo cùng @ChangDoran2k và @PhânTíchGame,2025-07-14 00:44:06,8164,155
Phê Game,Anh Nhân Viên Xui Xẻo Và Cái Siêu Thị Khốn Nạn | SUPERMARKET SIMULATOR,2025-07-13 19:15:06,56999,2005
Phê Game,🔴Chill hunt cúi tuần,2025-07-13 18:14:29,5342,120
Phê Game,Series HITMAN Đã Được Tạo Ra Như Thế Nào?,2025-07-12 18:54:14,30048,932
Phê Game,Gái Ngựa Bị Điên (và lý do tôi yêu cô ấy) | SOI GAME #136,2025-07-11 18:30:32,117188,4740
Phê Game,"TẠP CHÍ GAME #218 | RE: Survival Unit! BF6 Cực Tham Vọng, FBC:Firebreak ""Siêu Flop"" & Chiến Dịch SKG",2025-07-10 19:30:06,21318,543
Phê Game,DLC Thế Này Liệu Có Đáng Chơi? | Lies of P: Overture,2025-07-09 19:00:09,26584,772
Phê Game,Bí Mật Của Kẻ Giả Mạo Animatronic | FNAF - Secret Of The Mimic,2025-07-08 18:30:06,62558,1594
Phê Game,Những Nhiệm Vụ Lê Thê Đến Phát Bực Trong Video Games,2025-07-07 18:30:24,42853,1379
Phê Game,🔴Chill hunt cúi tuần,2025-07-06 21:08:35,6269,131
Phê Game,Sẽ Thế Nào Nếu THẾ CHIẾN THỨ 3 Bùng Nổ? | OBSERVER,2025-07-06 19:00:06,44476,1345
Phê Game,🔴 Chết Cạn Trên Bờ Biển [PS5 Pro] #12,2025-07-06 05:35:42,11137,242
Phê Game,Kẻ Tâm Thần Chống Lại Những Nhân Cách Của Chính Mình | POCKET MIRROR,2025-07-05 18:30:06,34433,1191
Phê Game,🔴Monster Hunter Wilds TU2 - Chúa Tể Đại Dương,2025-07-05 17:49:40,8296,143
Phê Game,🔴Săn bướm pro max cùng @ChangDoran2k và @PhânTíchGame,2025-07-05 12:58:58,0,0
Phê Game,🔴 Chết Cạn Trên Bờ Biển [PS5 Pro] #11,2025-07-04 23:31:07,5991,127
Phê Game,SUPER SOI GAME #29,2025-07-04 18:53:03,88420,2343
Phê Game,🔴Săn bướm pro max cùng @ChangDoran2k và @PhânTíchGame,2025-07-04 00:55:00,15218,261
Phê Game,"TẠP CHÍ GAME #217 | Mecha Break Xuất Quân! Switch 2 Phá Kỷ Lục, Perfect Dark = 0 & Leon Không Đủ Sợ?",2025-07-03 19:30:06,33099,784
Phê Game,🔴 Chết Cạn Trên Bờ Biển [PS5 Pro] #10,2025-07-02 23:44:27,6383,142
Phê Game,NEXUS MODS - Thiên Đường Của Các Modder,2025-07-02 19:07:40,64207,1998
Phê Game,🔴 Chết Cạn Trên Bờ Biển [PS5 Pro] #9,2025-07-02 00:40:55,8579,169
Phê Game,"LIES OF P Và ""Lời Nói Dối"" Của Ngành Game Hàn Quốc",2025-07-01 19:00:05,47062,1344
Phê Game,🔴 Chết Cạn Trên Bờ Biển [PS5 Pro] #8,2025-07-01 00:41:09,8353,194
Phê Game,Những Tựa Game Đáng Yêu Nhưng KHÓ KINH KHỦNG,2025-06-30 18:57:35,46730,1269
Phê Game,🔴 Chết Cạn Trên Bờ Biển [PS5 Pro] #7,2025-06-29 23:59:14,8975,221
Phê Game,HIDEO KOJIMA Và Nghịch Lý Sáng Tạo Trong DEATH STRANDING,2025-06-29 19:00:06,63335,1771
Phê Game,🔴 Chết Cạn Trên Bờ Biển [PS5 Pro] #6,2025-06-29 17:31:00,7956,162
Phê Game,🔴 Chết Cạn Trên Bờ Biển [PS5 Pro] #5,2025-06-29 01:15:27,10511,218
Phê Game,Vì Sao Game Ngày Nay TỐI ƯU VẪN TỆ?,2025-06-28 19:19:11,66177,1849
Phê Game,🔴 Chết Cạn Trên Bờ Biển [PS5 Pro] #4,2025-06-28 17:34:34,9239,202
Phê Game,🔴 Chết Cạn Trên Bờ Biển [PS5 Pro] #3,2025-06-28 01:15:37,13265,284
Phê Game,Thác Loạn Dưới Địa Ngục | SOI GAME #135,2025-06-27 18:30:06,86764,2664
Phê Game,🔴Săn nhân mã pro max cùng  @ChangDoran2k & @PhânTíchGame,2025-06-27 01:04:32,16694,296
Phê Game,"TẠP CHÍ GAME #216| Death Stranding 2 Ấn Tượng! GTA6 2 Lần Bị Hủy? Hytale ""Bay Màu"" & MH:W ""Chạm Đáy""",2025-06-26 19:30:06,33543,792
Phê Game,🔴 Chết Cạn Trên Bờ Biển [PS5 Pro] #2,2025-06-26 06:48:00,17531,354
Phê Game,Ai Cũng Là Con Rối Trong Tay Người Khác Mà Thôi | GIẢ THUYẾT DELTARUNE CHAPTER 4,2025-06-25 19:30:31,99698,2597
Phê Game,🔴 Chết Cạn Trên Bờ Biển [PS5 Pro] #1,2025-06-25 01:00:18,30135,653
Phê Game,"Nhờ Truck-kun, Tôi Đổi Đời Thành Chúa Tể Bóng Tối | OVERLORD 2",2025-06-24 19:00:06,31355,1211
Phê Game,Cần Biết Gì Trước Khi Chơi DEATH STRANDING 2 ?,2025-06-23 19:00:07,40899,1113
Phê Game,Những Tựa Game Có Đánh Giá PHÂN CỰC Đến Nực Cười,2025-06-22 19:30:07,73325,2285
Phê Game,MINDSEYE | CHÊ GAME,2025-06-21 19:00:09,164537,4763
Phê Game,Trại Thương Điên Của Những Linh Hồn Lạc Lối | SANITARIUM,2025-06-20 18:30:44,26258,962
Phê Game,🔴Săn khủng long pro max cùng  @ChangDoran2k & @PhânTíchGame,2025-06-20 01:01:36,16520,322
Tinh tế,Xem giải pháp biến tầng vi mô cho hệ thống năng lượng Mặt Trời của HoyMiles: an toàn là trên hết,2025-07-16 20:01:53,599,12
Tinh tế,Top 5 tính năng nổi bật trên Galaxy Watch 8 Series,2025-07-16 19:31:04,4032,16
Tinh tế,Top 5 tính năng nổi bật trên Galaxy Watch 8 Series: Khi sức khoẻ và phong cách là một,2025-07-15 20:02:02,1729,36
Tinh tế,Unbox Samsung Galaxy Z Fold7: Mỏng quá mỏng,2025-07-10 21:01:24,6300,123
Tinh tế,Trên tay máy điều hòa Panasonic XU_BKH mới: tích hợp máy lọc không khí,2025-07-10 20:01:12,2880,32
Tinh tế,Trên tay Samsung Galaxy Z Flip 7: con AI nằm gọn trong lòng bàn tay,2025-07-09 21:01:32,2870,30
Tinh tế,"Trên tay Samsung Galaxy Z Fold7: mỏng hơn, nhẹ hơn S25 Ultra, màn hình lớn 8-inch",2025-07-09 21:01:30,4499,69
Tinh tế,"Trên tay Z Flip7 tại VN: màu đỏ chói, màn ngoài quá đẹp, chiếc Flip ngon nhất!",2025-07-09 21:01:27,5021,91
Tinh tế,"Trên tay Galaxy Watch 8 Classic: Sự trở lại của vòng xoay bezel và một ""bác sĩ AI"" trên cổ tay",2025-07-09 21:01:00,2725,24
Tinh tế,"Trên tay Samsung Galaxy Watch8: Thiết kế mới, cực mỏng, tập trung vào yếu tố sức khỏe",2025-07-09 21:00:13,5054,65
Tinh tế,Trên tay Dyson Supersonic r: máy sấy tốt nhất hiện tại!,2025-07-08 20:00:11,774,18
Tinh tế,"Lại nói về Samsung Z Fold mới: liệu có giữ được ""Ultra"" không?",2025-07-05 20:00:57,8423,112
Tinh tế,Trợ lý ảo Copilot đã biết nhìn cửa sổ duyệt web của màn hình và trả lời!,2025-07-05 20:00:37,2009,29
Tinh tế,Đã tìm được giải pháp khí tươi rồi anh em...,2025-07-04 20:00:52,4655,104
