stt,file_path,duration,lastest_used_value
60,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\159 - V318.mp4,4:30,23852054
61,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\160 - V320.mp4,2:31,23850204
62,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\161 - V322.mp4,4:11,23740249
63,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\162 - V324.mp4,6:06,23574147
64,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\163 - v326.mp4,5:53,23479612
65,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\164 - v328.mp4,2:07,23480792
66,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\165 - v330.mp4,2:15,23481743
67,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\166 - v332.mp4,2:47,23481200
68,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\167 - v336.mp4,3:02,22555449
69,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\168 - v338.mp4,4:21,23481969
70,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\169 - V342.mp4,2:50,23131102
71,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\170 - V348.mp4,4:43,23044240
72,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\171 - V352.mp4,3:55,22982965
73,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\172 - V354.mp4,4:39,22788069
74,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\173 - V356.mp4,4:26,23045802
75,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\174 - V358.mp4,4:11,23046702
76,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\175 - V360.mp4,2:42,22705515
77,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\176 - V364.mp4,2:37,22528735
78,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\177 - V366.mp4,6:33,22522829
79,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\178 - V368.mp4,5:14,22529165
80,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\179 - V370.mp4,2:10,22466229
81,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\180 - V374.mp4,2:56,22188233
82,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\181 - v376.mp4,3:24,21493219
83,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\182 - v378 - bottle cutting.mp4,3:16,21492571
84,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\183 - V380.mp4,2:58,22102293
85,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\184 - V384.mp4,3:16,22032803
86,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\185 - V386.mp4,4:01,21747735
87,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\186 - V396.mp4,5:35,21321607
88,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\187 - V398.mp4,3:44,21320343
89,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\188 - v400.mp4,5:49,21051556
90,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\189 - V388.mp4,4:39,21746623
91,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\190 - V390.mp4,4:33,21745968
92,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\191 - V394.mp4,3:59,21677186
93,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\192 - v402.mp4,3:11,20893827
94,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\193 - v406.mp4,3:35,21049281
95,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\194 - V408.mp4,3:32,20740576
96,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\195 - V410.mp4,3:08,21142537
97,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\196 - V416.mp4,3:25,20806197
98,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\197 - v420.mp4,3:38,20696361
99,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\198 - v422.mp4,3:05,20695670
100,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\199 - v426.mp4,4:14,20630781
101,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\200 - v428.mp4,4:16,20629709
102,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\201 - V432.mp4,3:58,20570334
103,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\202 - V434.mp4,4:14,20569449
104,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\203 - V436.mp4,5:51,20568478
105,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\204 - V430.mp4,3:58,20571131
106,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\205 - V438.mp4,4:50,20473516
107,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\206 - V440.mp4,4:36,20472187
108,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\207 - V442.mp4,3:53,20471027
109,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\208 - V444 - foot cutting.mp4,3:13,20225536
110,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\209 - v446.mp4,5:36,20226588
111,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\210 - v448.mp4,6:30,20225098
112,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\211 - v450.mp4,2:49,20222468
113,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\212 - V452.mp4,3:45,20202939
114,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\213 - V454.mp4,6:42,20203825
115,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\214 - V456.mp4,8:05,20204480
116,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\215 - V464.mp4,4:37,19616850
117,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\216 - V474.mp4,4:30,19096741
118,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\217 - V476.mp4,5:15,19095200
119,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\218 - V482.mp4,4:19,18986851
120,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\219 - V488.mp4,3:34,18984616
121,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\220 - V490.mp4,3:27,18985767
122,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\221 - V412.mp4,8:11,21054999
123,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\222 - V414.mp4,7:56,21048925
124,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\223 - V458.mp4,5:01,19870399
125,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\224 - V462.mp4,3:25,19698006
126,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\225 - V480.mp4,3:43,18994587
127,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\226 - V486.mp4,3:38,18995965
128,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\227 - V492.mp4,4:17,18995012
129,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\228 - v468.mp4,7:10,19001110
130,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\229 - v470.mp4,4:45,18998873
131,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\230 - v472.mp4,5:46,18999363
132,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\231 - v478.mp4,6:03,18998144
133,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\232 - v484.mp4,3:51,18997030
134,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\233 - v494.mp4,4:13,18317365
135,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\234 - v496.mp4,6:26,18315937
136,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\235 - v498.mp4,3:23,18314703
137,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\236 - V500.mp4,4:58,18226471
138,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\237 - 8EE.mp4,4:58,17613307
139,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\238 - 10CG.mp4,3:05,17519991
140,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\239 - 12CG.mp4,4:30,17518123
141,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\240 - V502.mp4,3:20,18219982
142,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\241 - V504.mp4,3:03,17952075
143,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\242 - V506.mp4,3:24,17951233
144,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\243 - V508.mp4,4:27,17867462
145,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\244 - V510.mp4,4:32,17866498
146,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\245 - 2E.mp4,6:54,17778211
147,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\246 - 4E.mp4,3:04,17870079
148,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\247 - v6EE.mp4,5:56,17666278
149,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\248 - 13CD.mp4,4:14,14599861
150,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\249 - 14CD.mp4,4:22,14520810
151,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\250 - 16CD.mp4,1:29,14519915
152,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\251 - 17ED.mp4,5:51,14684572
